text,label
Donald Trump sends out his first tweet.,REAL
Scientists discover water on the moon.,REAL
Pope endorses Donald Trump for president.,FAKE
NASA confirms the sun rises in the west.,FAKE
Government confirms aliens live among us.,FAKE
Apple releases new iPhone with folding screen.,REAL
Stock market crashes due to moon eclipse.,FAKE
COVID-19 vaccine developed in 2 weeks.,FAKE
Local man wins lottery for the fifth time.,FAKE
Mars rover sends back color photos.,REAL
Cure for cancer found in rainforest plant.,FAKE
Researchers announce new element discovered.,REAL
The Eiffel Tower moved to New York.,FAKE
Tesla car flies over Golden Gate Bridge.,FAKE
Scientists clone dinosaur DNA successfully.,FAKE
Microsoft releases quantum computer for home use.,FAKE
Elon Musk plans city on Jupiter.,FAKE
Weather forecast: snow in the Sahara desert.,FAKE
Google launches mobile phone with hologram display.,REAL
Vaccination leads to magnetism in humans.,FAKE
